age,race,gender,label
20-29,Indian,Male,surprise
20-29,Indian,Female,happy
20-29,Indian,Male,angry
20-29,Indian,Female,fear
20-29,Indian,Male,angry
20-29,Indian,Male,disgust
20-29,Indian,Male,sad
20-29,Indian,Female,surprise
10-19,Indian,Female,happy
20-29,Indian,Male,sad
10-19,Indian,Female,neutral
20-29,Indian,Male,sad
20-29,Indian,Male,disgust
20-29,Indian,Female,sad
10-19,Black,Female,sad
20-29,Indian,Male,happy
20-29,Latino_Hispanic,Male,happy
20-29,Indian,Male,fear
20-29,Indian,Female,happy
30-39,Indian,Male,disgust
20-29,Indian,Female,disgust
20-29,Indian,Male,surprise
20-29,Latino_Hispanic,Male,sad
10-19,Indian,Female,disgust
10-19,Indian,Female,happy
20-29,Indian,Male,fear
20-29,Indian,Female,happy
20-29,Latino_Hispanic,Male,disgust
20-29,Indian,Female,sad
20-29,Indian,Male,angry
20-29,Indian,Female,disgust
10-19,Indian,Female,happy
20-29,Indian,Female,happy
10-19,Indian,Female,fear
20-29,Indian,Male,disgust
10-19,Indian,Female,sad
20-29,Indian,Female,sad
20-29,Indian,Male,happy
20-29,Indian,Male,sad
20-29,Indian,Male,disgust
20-29,Indian,Female,surprise
20-29,Indian,Male,angry
20-29,Latino_Hispanic,Male,sad
20-29,Indian,Male,neutral
20-29,Indian,Female,fear
20-29,Indian,Male,surprise
20-29,Indian,Male,happy
20-29,Indian,Male,sad
20-29,Indian,Male,surprise
20-29,Latino_Hispanic,Male,happy
20-29,Indian,Female,disgust
20-29,Indian,Male,happy
20-29,Indian,Male,happy
20-29,Indian,Female,happy
20-29,Indian,Female,angry
20-29,Indian,Female,sad
10-19,Indian,Female,happy
10-19,Indian,Female,neutral
20-29,Indian,Female,disgust
30-39,Indian,Male,angry
20-29,Indian,Female,sad
20-29,Indian,Male,surprise
20-29,Indian,Male,disgust
20-29,Indian,Male,happy
20-29,Indian,Female,happy
10-19,Indian,Female,fear
20-29,Indian,Male,fear
20-29,Indian,Male,disgust
20-29,Latino_Hispanic,Female,fear
20-29,Indian,Male,happy
20-29,Indian,Male,happy
20-29,Indian,Female,sad
20-29,Indian,Male,disgust
20-29,Indian,Male,fear
20-29,Indian,Male,happy
20-29,Latino_Hispanic,Male,sad
20-29,Indian,Male,neutral
20-29,Latino_Hispanic,Male,sad
20-29,Indian,Female,sad
20-29,Indian,Male,happy
20-29,Indian,Female,happy
20-29,Indian,Female,happy
20-29,Indian,Male,angry
20-29,Indian,Female,surprise
20-29,Latino_Hispanic,Female,fear
20-29,Indian,Male,disgust
20-29,Indian,Male,angry
20-29,Indian,Female,happy
20-29,Indian,Female,happy
30-39,Indian,Male,surprise
20-29,Indian,Female,happy
20-29,Indian,Male,happy
20-29,Indian,Female,happy
10-19,Indian,Female,surprise
20-29,Indian,Male,happy
10-19,Indian,Male,disgust
20-29,Indian,Female,happy
20-29,Indian,Male,happy
20-29,Indian,Female,sad
20-29,Indian,Male,surprise
10-19,Black,Female,surprise
10-19,Indian,Female,happy
20-29,Indian,Male,happy
20-29,Indian,Male,neutral
20-29,Indian,Male,happy
20-29,Indian,Male,happy
10-19,Indian,Female,disgust
