age,race,gender,label
20-29,East Asian,Female,surprise
20-29,Southeast Asian,Female,angry
20-29,Southeast Asian,Female,neutral
20-29,East Asian,Female,happy
20-29,East Asian,Female,happy
20-29,East Asian,Female,happy
20-29,East Asian,Female,sad
20-29,Southeast Asian,Female,sad
20-29,East Asian,Female,angry
20-29,East Asian,Female,happy
20-29,East Asian,Female,angry
20-29,East Asian,Female,surprise
20-29,East Asian,Female,disgust
20-29,East Asian,Female,neutral
20-29,East Asian,Female,angry
20-29,Southeast Asian,Female,angry
20-29,East Asian,Female,disgust
20-29,East Asian,Female,fear
20-29,East Asian,Female,fear
20-29,Southeast Asian,Female,fear
20-29,East Asian,Female,angry
20-29,East Asian,Female,disgust
20-29,East Asian,Female,happy
20-29,East Asian,Female,sad
20-29,East Asian,Female,happy
20-29,East Asian,Female,surprise
20-29,Southeast Asian,Female,disgust
20-29,Southeast Asian,Female,sad
20-29,East Asian,Female,happy
20-29,East Asian,Female,angry
20-29,East Asian,Female,surprise
20-29,East Asian,Female,neutral
20-29,East Asian,Female,neutral
20-29,Southeast Asian,Female,surprise
20-29,East Asian,Female,sad
20-29,East Asian,Female,neutral
20-29,East Asian,Female,sad
20-29,East Asian,Female,sad
20-29,Southeast Asian,Female,sad
20-29,East Asian,Female,surprise
20-29,East Asian,Female,fear
20-29,East Asian,Female,disgust
20-29,Southeast Asian,Female,surprise
20-29,Southeast Asian,Female,angry
20-29,East Asian,Female,happy
20-29,East Asian,Female,angry
20-29,Southeast Asian,Female,happy
20-29,East Asian,Female,neutral
20-29,Southeast Asian,Female,sad
20-29,East Asian,Female,disgust
20-29,East Asian,Female,surprise
20-29,East Asian,Female,sad
20-29,East Asian,Female,disgust
20-29,East Asian,Female,happy
20-29,East Asian,Female,disgust
20-29,East Asian,Female,sad
20-29,Southeast Asian,Female,fear
20-29,Southeast Asian,Female,neutral
20-29,East Asian,Female,happy
20-29,East Asian,Female,disgust
20-29,East Asian,Female,sad
20-29,East Asian,Female,fear
20-29,East Asian,Female,fear
20-29,East Asian,Female,happy
20-29,Southeast Asian,Female,surprise
20-29,East Asian,Female,fear
20-29,East Asian,Female,fear
20-29,Southeast Asian,Female,happy
20-29,East Asian,Female,sad
20-29,East Asian,Female,happy
20-29,East Asian,Female,surprise
20-29,East Asian,Female,sad
20-29,East Asian,Female,surprise
20-29,East Asian,Female,disgust
20-29,East Asian,Female,surprise
20-29,East Asian,Female,happy
20-29,East Asian,Female,happy
20-29,East Asian,Female,sad
20-29,East Asian,Female,angry
20-29,East Asian,Female,angry
20-29,East Asian,Female,angry
20-29,East Asian,Female,neutral
20-29,Southeast Asian,Female,disgust
20-29,East Asian,Female,fear
20-29,East Asian,Female,fear
20-29,East Asian,Female,fear
20-29,East Asian,Female,disgust
20-29,East Asian,Female,surprise
20-29,East Asian,Female,neutral
20-29,Southeast Asian,Female,sad
20-29,Southeast Asian,Female,fear
20-29,East Asian,Female,surprise
20-29,East Asian,Female,disgust
20-29,East Asian,Female,sad
20-29,East Asian,Female,angry
20-29,Southeast Asian,Female,disgust
20-29,Southeast Asian,Female,surprise
20-29,East Asian,Female,sad
20-29,East Asian,Female,fear
20-29,East Asian,Female,sad
20-29,East Asian,Female,angry
20-29,East Asian,Female,surprise
20-29,Southeast Asian,Female,happy
20-29,East Asian,Female,surprise
20-29,East Asian,Female,happy
20-29,East Asian,Female,happy
20-29,East Asian,Female,angry
20-29,East Asian,Female,neutral
20-29,East Asian,Female,angry
20-29,East Asian,Female,sad
20-29,Southeast Asian,Female,fear
20-29,East Asian,Female,disgust
20-29,Southeast Asian,Female,disgust
20-29,East Asian,Female,fear
20-29,East Asian,Female,angry
20-29,East Asian,Female,fear
20-29,East Asian,Female,happy
20-29,East Asian,Female,neutral
20-29,East Asian,Female,happy
20-29,East Asian,Female,happy
20-29,East Asian,Female,fear
20-29,Southeast Asian,Female,happy
20-29,East Asian,Female,neutral
20-29,Southeast Asian,Female,sad
20-29,Southeast Asian,Female,angry
20-29,East Asian,Female,surprise
20-29,East Asian,Female,disgust
20-29,East Asian,Female,neutral
20-29,East Asian,Female,surprise
20-29,East Asian,Female,angry
20-29,East Asian,Female,surprise
20-29,East Asian,Female,fear
20-29,Southeast Asian,Female,neutral
20-29,East Asian,Female,sad
20-29,East Asian,Female,neutral
20-29,East Asian,Female,disgust
20-29,East Asian,Female,happy
20-29,East Asian,Female,surprise
20-29,East Asian,Female,neutral
20-29,East Asian,Female,sad
20-29,East Asian,Female,disgust
20-29,East Asian,Female,angry
20-29,Southeast Asian,Female,neutral
20-29,East Asian,Female,fear
20-29,East Asian,Female,disgust
20-29,Southeast Asian,Female,happy
20-29,East Asian,Female,surprise
20-29,East Asian,Female,angry
20-29,East Asian,Female,disgust
20-29,Southeast Asian,Female,neutral
20-29,East Asian,Female,disgust
20-29,Southeast Asian,Female,angry
20-29,East Asian,Female,disgust
20-29,East Asian,Female,neutral
20-29,East Asian,Female,fear
20-29,East Asian,Female,neutral
20-29,East Asian,Female,fear
20-29,Southeast Asian,Female,surprise
20-29,East Asian,Female,fear
20-29,East Asian,Female,sad
20-29,East Asian,Female,angry
20-29,East Asian,Female,angry
20-29,East Asian,Female,neutral
20-29,East Asian,Female,surprise
20-29,East Asian,Female,sad
20-29,East Asian,Female,sad
20-29,East Asian,Female,fear
20-29,East Asian,Female,sad
20-29,East Asian,Female,neutral
20-29,Southeast Asian,Female,surprise
20-29,East Asian,Female,happy
20-29,Southeast Asian,Female,angry
20-29,East Asian,Female,fear
20-29,East Asian,Female,neutral
20-29,Southeast Asian,Female,fear
20-29,Southeast Asian,Female,fear
20-29,East Asian,Female,happy
20-29,East Asian,Female,surprise
20-29,East Asian,Female,neutral
20-29,East Asian,Female,surprise
20-29,East Asian,Female,fear
20-29,East Asian,Female,angry
20-29,East Asian,Female,fear
20-29,Southeast Asian,Female,disgust
20-29,East Asian,Female,angry
20-29,East Asian,Female,sad
20-29,Southeast Asian,Female,neutral
20-29,East Asian,Female,disgust
20-29,East Asian,Female,happy
20-29,Southeast Asian,Female,disgust
20-29,East Asian,Female,neutral
20-29,East Asian,Female,neutral
