age,race,gender,label
3-9,White,Female,happy
20-29,White,Female,happy
20-29,East Asian,Female,happy
30-39,Latino_Hispanic,Male,angry
20-29,East Asian,Female,fear
30-39,White,Male,happy
20-29,White,Female,surprise
50-59,White,Male,neutral
20-29,Latino_Hispanic,Male,disgust
20-29,White,Female,sad
20-29,White,Female,angry
40-49,White,Male,fear
20-29,White,Female,surprise
30-39,White,Female,happy
20-29,White,Female,happy
0-2,Black,Male,fear
20-29,White,Male,surprise
20-29,White,Female,sad
40-49,White,Female,happy
30-39,East Asian,Male,fear
30-39,White,Male,angry
30-39,White,Male,sad
30-39,White,Male,fear
20-29,White,Female,surprise
20-29,White,Female,fear
50-59,White,Male,disgust
20-29,White,Female,surprise
50-59,Black,Female,sad
20-29,White,Female,neutral
30-39,White,Male,happy
50-59,White,Male,angry
3-9,Middle Eastern,Male,sad
50-59,White,Male,happy
30-39,Latino_Hispanic,Male,fear
20-29,White,Female,sad
20-29,Black,Female,disgust
30-39,White,Male,disgust
40-49,White,Male,surprise
20-29,White,Female,neutral
20-29,White,Female,happy
30-39,White,Female,happy
20-29,Southeast Asian,Male,neutral
20-29,White,Male,surprise
20-29,White,Female,happy
50-59,White,Male,sad
0-2,Latino_Hispanic,Male,sad
20-29,East Asian,Female,fear
60-69,Latino_Hispanic,Female,neutral
30-39,White,Male,sad
20-29,White,Male,happy
40-49,White,Male,fear
30-39,White,Male,angry
20-29,White,Female,happy
20-29,White,Male,fear
70+,White,Female,fear
3-9,White,Male,disgust
30-39,White,Male,disgust
10-19,White,Female,neutral
20-29,Middle Eastern,Male,neutral
20-29,White,Female,surprise
30-39,White,Female,happy
30-39,White,Male,happy
40-49,White,Male,happy
30-39,White,Male,fear
30-39,White,Male,neutral
20-29,White,Female,sad
20-29,White,Male,happy
20-29,East Asian,Male,surprise
3-9,East Asian,Female,neutral
70+,Black,Male,sad
20-29,White,Male,happy
20-29,Black,Male,happy
30-39,White,Female,happy
30-39,White,Male,neutral
20-29,White,Female,disgust
20-29,White,Male,sad
30-39,White,Female,happy
3-9,White,Female,sad
20-29,White,Female,sad
20-29,White,Male,happy
20-29,White,Male,happy
20-29,White,Female,neutral
30-39,White,Male,angry
3-9,White,Male,neutral
30-39,White,Male,disgust
3-9,White,Male,angry
20-29,Southeast Asian,Female,happy
30-39,White,Male,surprise
20-29,White,Male,surprise
20-29,White,Female,neutral
30-39,Black,Male,disgust
30-39,White,Male,neutral
30-39,Middle Eastern,Male,surprise
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Male,neutral
20-29,White,Female,angry
30-39,White,Female,angry
40-49,White,Male,happy
3-9,White,Male,disgust
40-49,White,Female,happy
20-29,White,Female,happy
0-2,White,Male,surprise
30-39,White,Male,angry
20-29,White,Male,happy
30-39,White,Female,angry
3-9,East Asian,Female,happy
3-9,White,Female,angry
30-39,White,Female,disgust
70+,Middle Eastern,Female,sad
30-39,White,Male,neutral
40-49,White,Male,angry
40-49,White,Male,happy
3-9,East Asian,Male,disgust
40-49,White,Male,angry
40-49,White,Male,fear
40-49,White,Female,sad
40-49,White,Male,happy
20-29,White,Female,surprise
20-29,White,Female,surprise
3-9,White,Female,angry
60-69,Southeast Asian,Female,sad
20-29,White,Male,angry
40-49,Latino_Hispanic,Female,neutral
30-39,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,surprise
20-29,Middle Eastern,Female,neutral
30-39,White,Male,angry
20-29,White,Female,sad
20-29,Black,Male,sad
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Female,sad
50-59,White,Male,fear
20-29,Black,Female,happy
20-29,Black,Female,neutral
20-29,White,Female,happy
40-49,White,Male,angry
30-39,White,Female,disgust
3-9,East Asian,Male,fear
20-29,White,Female,neutral
3-9,White,Female,fear
40-49,White,Male,sad
40-49,East Asian,Male,disgust
20-29,East Asian,Female,happy
20-29,White,Female,happy
30-39,White,Male,angry
20-29,White,Male,surprise
20-29,White,Female,happy
20-29,White,Male,fear
0-2,White,Male,happy
20-29,White,Female,disgust
20-29,White,Male,surprise
20-29,Latino_Hispanic,Female,happy
3-9,East Asian,Female,happy
20-29,White,Female,sad
20-29,White,Male,surprise
0-2,White,Male,disgust
30-39,Black,Female,angry
30-39,White,Male,fear
30-39,White,Male,sad
50-59,White,Female,happy
30-39,White,Male,fear
20-29,Southeast Asian,Male,happy
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,Latino_Hispanic,Female,neutral
40-49,White,Female,happy
20-29,White,Female,fear
20-29,White,Male,sad
20-29,White,Male,fear
40-49,White,Male,angry
40-49,White,Male,fear
20-29,White,Male,sad
3-9,White,Female,happy
