age,race,gender,label
20-29,Middle Eastern,Female,neutral
30-39,White,Male,angry
30-39,White,Female,happy
40-49,White,Male,neutral
20-29,White,Female,sad
30-39,White,Male,disgust
20-29,White,Female,surprise
30-39,White,Female,happy
40-49,Middle Eastern,Male,happy
40-49,Black,Female,disgust
20-29,White,Female,happy
20-29,White,Female,neutral
40-49,White,Male,angry
20-29,White,Female,surprise
30-39,White,Male,neutral
20-29,White,Female,sad
40-49,Middle Eastern,Male,sad
30-39,White,Female,sad
50-59,White,Female,sad
30-39,White,Male,fear
40-49,White,Male,surprise
30-39,White,Male,neutral
30-39,White,Female,fear
40-49,White,Male,neutral
40-49,White,Male,surprise
30-39,White,Male,angry
20-29,White,Female,angry
30-39,Black,Female,angry
30-39,Black,Male,neutral
20-29,White,Male,angry
20-29,White,Female,happy
50-59,White,Male,happy
20-29,White,Female,happy
20-29,White,Male,sad
40-49,White,Female,happy
30-39,White,Male,happy
30-39,White,Male,surprise
40-49,White,Male,fear
20-29,White,Male,neutral
20-29,White,Female,happy
20-29,White,Female,happy
50-59,White,Male,angry
40-49,White,Male,angry
30-39,White,Female,disgust
50-59,White,Male,sad
40-49,White,Male,happy
20-29,White,Female,neutral
30-39,East Asian,Male,happy
20-29,East Asian,Male,sad
10-19,White,Male,happy
20-29,White,Female,angry
20-29,White,Female,surprise
40-49,White,Male,disgust
20-29,White,Male,happy
60-69,White,Male,happy
30-39,White,Male,fear
30-39,White,Female,fear
20-29,East Asian,Female,neutral
30-39,White,Male,surprise
10-19,White,Male,fear
10-19,White,Female,neutral
40-49,Black,Male,happy
30-39,White,Female,happy
30-39,White,Male,neutral
30-39,Black,Male,sad
20-29,White,Male,angry
30-39,White,Male,angry
40-49,White,Male,neutral
40-49,White,Female,sad
30-39,White,Male,sad
20-29,White,Male,fear
50-59,White,Male,angry
20-29,White,Male,fear
30-39,White,Female,angry
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Male,angry
20-29,White,Male,sad
20-29,White,Female,sad
30-39,White,Male,angry
30-39,Middle Eastern,Female,angry
20-29,East Asian,Female,sad
40-49,White,Male,neutral
30-39,White,Male,fear
20-29,White,Male,fear
30-39,White,Male,sad
30-39,Black,Female,angry
30-39,White,Male,sad
20-29,White,Female,happy
20-29,White,Female,neutral
30-39,White,Male,sad
30-39,White,Male,neutral
20-29,White,Female,sad
30-39,White,Female,happy
30-39,White,Male,angry
40-49,White,Male,angry
30-39,East Asian,Male,happy
30-39,Black,Male,disgust
20-29,White,Male,neutral
50-59,White,Male,angry
30-39,White,Female,angry
20-29,White,Female,happy
20-29,White,Female,surprise
30-39,White,Female,happy
20-29,White,Female,happy
20-29,White,Male,angry
30-39,White,Male,neutral
50-59,White,Male,neutral
10-19,White,Female,sad
20-29,White,Female,happy
40-49,Middle Eastern,Male,angry
30-39,White,Male,neutral
50-59,White,Male,happy
10-19,Middle Eastern,Male,neutral
30-39,Black,Male,angry
20-29,White,Male,angry
50-59,White,Male,fear
30-39,White,Female,happy
30-39,East Asian,Female,sad
40-49,Latino_Hispanic,Male,neutral
40-49,White,Male,fear
30-39,East Asian,Male,angry
30-39,White,Female,sad
30-39,White,Female,disgust
20-29,White,Female,neutral
40-49,White,Female,angry
20-29,White,Male,angry
50-59,White,Female,sad
20-29,White,Female,sad
10-19,White,Male,surprise
30-39,White,Male,happy
20-29,White,Male,angry
30-39,White,Male,surprise
30-39,White,Male,surprise
30-39,White,Female,neutral
20-29,White,Male,neutral
30-39,White,Male,neutral
30-39,White,Male,fear
10-19,White,Male,neutral
40-49,White,Male,happy
30-39,White,Female,happy
20-29,White,Female,sad
40-49,Black,Male,angry
